candidate_id,cycle,total
H4FL26038,,125000.0
H4NH02175,,8923.17
P00009423,2024.0,1291930.0
P40013039,2024.0,10000.0
P80000722,2024.0,777245.26
P80001571,2024.0,2298340.51
S4OH00192,2024.0,29500.0
S4OH00200,2024.0,63000.0
H0MI03308,2022.0,381000.0
H0WV01072,2022.0,53150.0
H2CA20094,2022.0,355000.0
H2CA21233,2022.0,50000.0
H2NM02191,2022.0,62500.0
H6NE02125,2022.0,200000.0
H8NM02156,2022.0,85398.6
H8OH01043,2022.0,230000.0
S0WI00197,2022.0,57500.0
S2GA00225,2022.0,100000.0
S2MO00544,2022.0,609780.0
S2NC00505,2022.0,596000.0
S2NV00324,2022.0,143000.0
S2OH00170,2022.0,35000.0
S2OH00436,2022.0,50000.0
S2PA00489,2022.0,35000.0
S2PA00638,2022.0,104724.0
S6NH00091,2022.0,7125.5
H0NC09187,2020.0,121340.0
H0WI07101,2020.0,149392.0
H2IA05072,2020.0,200018.0
H2TX23082,2020.0,286383.0
H8NC09123,2020.0,15840.0
P80000722,2020.0,1281368.41
P80001571,2020.0,7981970.34
S0DE00092,2020.0,164541.0
S0GA00526,2020.0,842039.5
S0KS00315,2020.0,501094.1
S0MT00173,2020.0,91967.01
S0SC00149,2020.0,11972.0
S2MT00096,2020.0,925000.0
S4CO00395,2020.0,2187926.86
S4GA11285,2020.0,679275.5
S4IA00129,2020.0,986397.53
S4NC00162,2020.0,2043066.33
S6ME00159,2020.0,1960277.15
S8AZ00221,2020.0,2061487.59
S8MN00578,2020.0,490000.0
H0KS03137,2018.0,200000.0
H0TX23086,2018.0,125000.0
H0WA02080,2018.0,65.16
H0WA03161,2018.0,65.16
H0WA08046,2018.0,65.16
H2HI02508,2018.0,131352.57
H2WA06129,2018.0,65.16
H4CA25123,2018.0,120149.0
H4ME02234,2018.0,41854.26
H4VA10089,2018.0,50200.0
H4WA05077,2018.0,192534.57
H6FL07140,2018.0,125000.0
H6FL13148,2018.0,286112.61
H6OH04082,2018.0,18500.0
H6WA07458,2018.0,65.16
H8CA20059,2018.0,36300.0
H8NC03076,2018.0,28596.3
H8WA03198,2018.0,170.76
H8WA04089,2018.0,65.16
H8WA05193,2018.0,560.19
H8WA08189,2018.0,239.71
H8WA08205,2018.0,140.27
S0AL00156,2018.0,80153.0
S0CA00199,2018.0,148115.5
S0WV00090,2018.0,342401.71
S2IN00091,2018.0,626274.9
S2ND00099,2018.0,276499.0
S2NE00094,2018.0,249190.68
S2NV00183,2018.0,175550.5
S6MT00162,2018.0,1000000.0
S8AZ00221,2018.0,1287613.19
S8DE00079,2018.0,148115.5
S8FL00273,2018.0,1732662.19
S8MN00578,2018.0,65430.0
S8MO00160,2018.0,430823.3
S8MS00261,2018.0,23548.0
S8MS00287,2018.0,131000.0
S8ND00120,2018.0,77969.47
S8TN00337,2018.0,750000.0
S8WA00194,2018.0,65.16
S8WV00143,2018.0,314248.0
H0KS04051,2016.0,133447.5
H2NC01081,2016.0,21000.0
H2PA09035,2016.0,22000.0
H4ME02234,2016.0,25325.0
H4NC03059,2016.0,21000.0
H4VA10089,2016.0,75000.0
P00003392,2016.0,869203.27
P80001571,2016.0,548126.68
S0IA00028,2016.0,31273.07
S0MO00183,2016.0,291600.0
S6AL00013,2016.0,412974.64
H0KS04051,2014.0,414314.0
H0VA07042,2014.0,28020.0
