candidate_id,contribution_receipt_amount,election_year,size,size_range_id
P00011866,378280.74,2020,0,1
P00011239,736376.07,2020,0,1
P00016550,8278.2,2020,0,1
P00009423,21973721.06,2020,0,1
P00009621,94958349.79,2020,0,1
P00006841,20816.99,2020,0,1
P00000002,519956948.55,2016,0,1
P00010298,60190288.0,2020,0,1
P60007168,176308618.63,2020,0,1
P80006117,29635033.76,2020,0,1
P60006046,3104336.02,2016,0,1
P80000722,656816952.8,2020,0,1
P00009092,7553075.16,2020,0,1
P00011833,3112577.8,2020,0,1
P60003670,5120245.64,2016,0,1
P60007572,28078.05,2016,0,1
P20002671,8162452.34,2016,0,1
P00012054,150888.0,2020,0,1
P00006213,433369.23,2020,0,1
P00009183,9863257.56,2020,0,1
P80001571,483859530.91,2020,0,1
P00010520,648706.57,2020,0,1
P60007242,6994327.26,2016,0,1
P60009685,427156.45,2016,0,1
P20003984,7679605.81,2016,0,1
P60008521,571088.95,2016,0,1
P00000003,278084157.56,2016,0,1
P80003478,2094358.48,2016,0,1
P80003379,3979.8,2016,0,1
P00011312,375671.75,2020,0,1
P80000748,25348260.18,2012,0,1
P60022654,1191822.69,2016,0,1
P60007168,201856811.43,2016,0,1
P60008398,165198.16,2016,0,1
P20002721,355391.53,2016,0,1
P60003654,14113977.25,2012,0,1
P20003984,492856.03,2012,0,1
P80001571,126664224.88,2016,0,1
P00000002,483598366.66,2012,0,1
P00011338,486996.08,2020,0,1
P00016741,1276006.0,2020,0,1
P00013524,2616270.75,2020,0,1
P00011999,2250649.93,2020,0,1
P00008763,49807.57,2020,0,1
P00009290,2166740.49,2020,0,1
P00012567,139238.57,2020,0,1
P80003338,483598366.66,2012,0,1
P80003353,63998342.37,2012,0,1
P20002671,1029565.31,2012,0,1
P60008059,2550833.47,2016,0,1
P80003411,5272328.07,2008,0,1
P40003576,6727363.5,2016,0,1
P80000722,1318281.58,2008,0,1
P00000001,815074986.95,2016,0,1
P00000001,551392184.59,2008,0,1
P20003281,147589.4,2016,0,1
P80003478,6939783.3,2008,0,1
P60006723,14708637.69,2016,0,1
P60004751,304106.08,2008,0,1
P60005915,48176970.39,2016,0,1
P60007671,650476.98,2016,0,1
P60007697,328936.0,2016,0,1
P80003387,735041.79,2008,0,1
P80003288,2038192.92,2008,0,1
P80002801,63963001.94,2008,0,1
P60008885,359127.41,2016,0,1
P40002545,3295832.03,2008,0,1
P00003392,316663376.28,2016,0,1
P60003795,89520.71,2008,0,1
P60006111,60342598.34,2016,0,1
P00003251,-1514498.92,2008,0,1
P20002721,13978075.31,2012,0,1
P40002347,14782249.7,2008,0,1
P00003608,9651216.88,2012,0,1
P80003429,3255579.81,2008,0,1
P20003281,1159891.82,2012,0,1
P20002556,622342.06,2012,0,1
P20002978,6248448.98,2012,0,1
P80003338,335139233.48,2008,0,1
P80003353,8120412.42,2008,0,1
P00000003,116505459.36,2008,0,1
P20003109,42522.0,2012,0,1
P00003186,10427573.29,2008,0,1
P00000003,135739543.35,2012,0,1
P00012716,2611634.98,2020,0,1
P20002523,374836.9,2012,0,1
P80003395,1342748.47,2008,0,1
P00013276,94592.79,2020,0,1
P80000748,21824830.07,2008,0,1
P00010793,12651627.41,2020,0,1
P80003379,7986.74,2008,0,1
P00012211,374842.04,2020,0,1
P00010827,39770.0,2020,0,1
P00014407,303624.4,2020,0,1
P80002983,10328.61,2008,0,1
P20003067,576466.5,2012,0,1
P00000002,434886725.23,2008,0,1
P00000001,621235168.25,2012,0,1
P00003392,74039652.5,2008,0,1
P00011254,322109.2,2020,0,1
