candidate_id,coverage_end_date,election_year
P00003186,2008-06-30T00:00:00,2008
P00003251,2008-12-31T00:00:00,2008
P00003392,2008-12-31T00:00:00,2008
P00003392,2016-12-31T00:00:00,2016
P00003608,2012-12-31T00:00:00,2012
P00006213,2020-12-31T00:00:00,2020
P00006486,2020-12-31T00:00:00,2020
P00006841,2020-12-31T00:00:00,2020
P00008763,2020-11-23T00:00:00,2020
P00009092,2020-01-31T00:00:00,2020
P00009183,2020-08-31T00:00:00,2020
P00009290,2020-12-31T00:00:00,2020
P00009423,2020-12-31T00:00:00,2020
P00009423,2024-07-31T00:00:00,2024
P00009621,2020-12-31T00:00:00,2020
P00009795,2020-12-31T00:00:00,2020
P00009910,2024-07-31T00:00:00,2024
P00009910,2020-12-31T00:00:00,2020
P00010298,2020-03-31T00:00:00,2020
P00010454,2020-12-31T00:00:00,2020
P00010520,2020-12-31T00:00:00,2020
P00010793,2020-06-30T00:00:00,2020
P00010827,2020-12-31T00:00:00,2020
P00011239,2020-12-31T00:00:00,2020
P00011254,2020-12-31T00:00:00,2020
P00011312,2019-12-31T00:00:00,2020
P00011338,2020-01-01T00:00:00,2020
P00011833,2020-12-31T00:00:00,2020
P00011866,2020-12-31T00:00:00,2020
P00011999,2020-12-31T00:00:00,2020
P00012039,2020-12-31T00:00:00,2020
P00012054,2020-12-31T00:00:00,2020
P00012211,2020-12-31T00:00:00,2020
P00012567,2019-12-31T00:00:00,2020
P00012716,2020-12-31T00:00:00,2020
P00013276,2020-12-31T00:00:00,2020
P00013524,2020-12-31T00:00:00,2020
P00013649,2019-12-31T00:00:00,2020
P00014407,2020-05-31T00:00:00,2020
P00014530,2020-12-31T00:00:00,2020
P00016550,2020-12-31T00:00:00,2020
P00016741,2020-12-31T00:00:00,2020
P20002523,2012-12-31T00:00:00,2012
P20002556,2012-03-31T00:00:00,2012
P20002671,2012-12-31T00:00:00,2012
P20002671,2016-12-31T00:00:00,2016
P20002721,2016-12-31T00:00:00,2016
P20002721,2012-12-31T00:00:00,2012
P20002978,2012-01-25T00:00:00,2012
P20003067,2012-12-31T00:00:00,2012
P20003109,2012-12-31T00:00:00,2012
P20003281,2012-12-31T00:00:00,2012
P20003281,2016-12-31T00:00:00,2016
P20003984,2024-07-31T00:00:00,2024
P20003984,2016-12-31T00:00:00,2016
P20003984,2012-12-31T00:00:00,2012
P40002347,2008-12-31T00:00:00,2008
P40002545,2008-12-31T00:00:00,2008
P40003576,2016-12-31T00:00:00,2016
P40010977,2024-06-30T00:00:00,2024
P40011082,2024-06-30T00:00:00,2024
P40011793,2024-07-31T00:00:00,2024
P40011850,2024-07-31T00:00:00,2024
P40011868,2024-07-31T00:00:00,2024
P40011983,2024-07-31T00:00:00,2024
P40012155,2023-09-30T00:00:00,2024
P40012593,2024-06-30T00:00:00,2024
P40013039,2024-03-31T00:00:00,2024
P40013435,2024-07-31T00:00:00,2024
P40013518,2024-06-30T00:00:00,2024
P40013708,2024-07-31T00:00:00,2024
P40013765,2024-08-15T00:00:00,2024
P40014011,2024-02-23T00:00:00,2024
P40015406,2024-07-31T00:00:00,2024
P40015752,2024-04-09T00:00:00,2024
P40016131,2024-07-31T00:00:00,2024
P40019218,2024-06-30T00:00:00,2024
P60003654,2012-12-31T00:00:00,2012
P60003670,2016-09-30T00:00:00,2016
P60003795,2008-03-31T00:00:00,2008
P60004751,2008-12-31T00:00:00,2008
P60005915,2016-12-31T00:00:00,2016
P60006046,2016-12-31T00:00:00,2016
P60006111,2016-12-31T00:00:00,2016
P60006723,2016-12-31T00:00:00,2016
P60007168,2016-12-31T00:00:00,2016
P60007168,2020-12-31T00:00:00,2020
P60007242,2016-12-31T00:00:00,2016
P60007572,2016-12-31T00:00:00,2016
P60007671,2016-12-31T00:00:00,2016
P60007697,2016-09-20T00:00:00,2016
P60008059,2016-12-31T00:00:00,2016
P60008398,2015-12-31T00:00:00,2016
P60008521,2024-07-31T00:00:00,2024
P60008521,2016-12-31T00:00:00,2016
P60008885,2016-11-28T00:00:00,2016
P60009685,2015-09-30T00:00:00,2016
P60022654,2016-12-31T00:00:00,2016
P80000722,2008-12-31T00:00:00,2008
P80000722,2020-12-31T00:00:00,2020
