committee_id,count,cycle,state,state_full,total,zip
C00000026,1,1978,WA,Washington,200.00,98662
C00000026,1,1980,AL,Alabama,200.00,36104
C00000026,1,1982,WV,West Virginia,500.00,25064
C00000026,1,1986,OH,Ohio,500.00,43078
C00000042,2,1978,IL,Illinois,300.00,60525
C00000042,2,1978,IL,Illinois,450.00,60202
C00000042,1,1978,IL,Illinois,200.00,60120
C00000042,6,1978,IL,Illinois,1450.00,60068
C00000042,3,1978,IL,Illinois,500.00,60067
C00000042,2,1978,IL,Illinois,350.00,60062
C00000042,2,1978,IL,Illinois,2500.00,60045
C00000042,2,1978,IL,Illinois,1000.00,60016
C00000042,17,1978,IL,Illinois,5000.00,60010
C00000042,2,1978,IL,Illinois,1000.00,60008
C00000042,3,1980,IL,Illinois,500.00,60525
C00000042,1,1980,IL,Illinois,200.00,60202
C00000042,1,1980,IL,Illinois,200.00,60108
C00000042,2,1980,IL,Illinois,400.00,60068
C00000042,1,1980,IL,Illinois,200.00,60067
C00000042,1,1980,IL,Illinois,1500.00,60045
C00000042,14,1980,IL,Illinois,4730.00,60010
C00000042,1,1980,IL,Illinois,500.00,60008
C00000042,3,1982,IL,Illinois,2500.00,60045
C00000042,1,1982,IL,Illinois,1500.00,60010
C00000042,2,1984,IL,Illinois,2000.00,60045
C00000042,1,1984,IL,Illinois,1500.00,60010
C00000042,1,1986,IL,Illinois,1000.00,60045
C00000042,1,1986,IL,Illinois,1000.00,60010
C00000042,1,1988,IL,Illinois,2000.00,60010
C00000042,3,1990,IL,Illinois,600.00,60610
C00000042,1,1990,IL,Illinois,200.00,60087
C00000042,1,1990,IL,Illinois,200.00,60025
C00000042,2,1990,IL,Illinois,500.00,60015
C00000042,6,1990,IL,Illinois,3874.00,60010
C00000042,2,1990,WI,Wisconsin,500.00,53147
C00000042,1,1992,IL,Illinois,250.00,60025
C00000042,3,1992,IL,Illinois,624.00,60011
C00000042,11,1992,IL,Illinois,2372.00,60010
C00000042,1,1994,CT,Connecticut,300.00,06798
C00000042,1,1994,CT,Connecticut,200.00,06762
C00000042,1,1994,GA,Georgia,200.00,30247
C00000042,1,1994,IL,Illinois,300.00,60015
C00000042,1,1994,IL,Illinois,250.00,60010
C00000042,2,1994,OH,Ohio,450.00,43908
C00000042,1,1996,IL,Illinois,299.00,60093
C00000042,1,1996,IL,Illinois,250.00,60015
C00000042,1,1996,IL,Illinois,250.00,60010
C00000042,1,1996,OH,Ohio,200.00,43908
C00000042,1,1998,IL,Illinois,3000.00,60202
C00000042,3,1998,IL,Illinois,1100.00,60093
C00000042,1,2000,IL,Illinois,250.00,60175
C00000042,1,2000,IL,Illinois,250.00,60174
C00000042,1,2000,IL,Illinois,450.00,60093
C00000042,1,2000,IL,Illinois,212.00,60067
C00000042,1,2000,IL,Illinois,500.00,60048
C00000042,1,2000,IL,Illinois,5000.00,60045
C00000042,1,2000,IL,Illinois,250.00,60044
C00000042,1,2000,IL,Illinois,250.00,60012
C00000042,2,2000,IL,Illinois,550.00,60010
C00000042,1,2000,IL,Illinois,250.00,60008
C00000042,1,2000,NC,North Carolina,300.00,28277
C00000042,6,2004,CA,California ,209.00,94565
C00000042,3,2004,CA,California ,315.00,94549
C00000042,2,2004,CA,California ,140.00,94510
C00000042,2,2004,CA,California ,138.00,94509
C00000042,1,2004,CA,California ,45.00,92660
C00000042,5,2004,CA,California ,270.00,92630
C00000042,2,2004,CT,Connecticut,120.00,06708
C00000042,1,2004,CT,Connecticut,30.00,06040
C00000042,4,2004,CT,Connecticut,300.00,06032
C00000042,2,2004,CT,Connecticut,80.00,06029
C00000042,2,2004,DE,Delaware,120.00,19801
C00000042,2,2004,FL,Florida,60.00,33146
C00000042,2,2004,FL,Florida,60.00,32254
C00000042,2,2004,FL,Florida,80.00,32063
C00000042,2,2004,IL,Illinois,90.00,60950
C00000042,3,2004,IL,Illinois,210.00,60714
C00000042,3,2004,IL,Illinois,280.00,60614
C00000042,7,2004,IL,Illinois,420.00,60565
C00000042,3,2004,IL,Illinois,210.00,60563
C00000042,4,2004,IL,Illinois,545.00,60555
C00000042,2,2004,IL,Illinois,60.00,60544
C00000042,4,2004,IL,Illinois,210.00,60532
C00000042,4,2004,IL,Illinois,300.00,60525
C00000042,3,2004,IL,Illinois,210.00,60517
C00000042,1,2004,IL,Illinois,30.00,60515
C00000042,3,2004,IL,Illinois,210.00,60504
C00000042,4,2004,IL,Illinois,195.00,60477
C00000042,2,2004,IL,Illinois,200.00,60467
C00000042,3,2004,IL,Illinois,210.00,60464
C00000042,10,2004,IL,Illinois,420.00,60455
C00000042,3,2004,IL,Illinois,217.00,60453
C00000042,5,2004,IL,Illinois,388.00,60448
C00000042,1,2004,IL,Illinois,130.00,60447
C00000042,3,2004,IL,Illinois,280.00,60444
C00000042,2,2004,IL,Illinois,60.00,60440
C00000042,1,2004,IL,Illinois,75.00,60439
C00000042,2,2004,IL,Illinois,120.00,60423
C00000042,3,2004,IL,Illinois,210.00,60195
C00000042,12,2004,IL,Illinois,936.00,60193
